# name, ID bytes after 9Fh (hex), page, spare, pages/block, blocks, plane select (col bit12), read-from-cache dummy before column, voltage, verified
# "verified" = geometry and ID checked against the datasheet by the project; others are from memory, report problems.
W25N512GV, EFAA20, 2048, 64, 64, 512, 0, 0, 3.3, 0
W25N01GV, EFAA21, 2048, 64, 64, 1024, 0, 0, 3.3, 1
W25N01GW, EFBA21, 2048, 64, 64, 1024, 0, 0, 1.8, 0
W25N02KV, EFAA22, 2048, 128, 64, 2048, 0, 0, 3.3, 0
GD5F1GQ4UA, C8F1, 2048, 64, 64, 1024, 0, 1, 3.3, 0
GD5F1GQ4UB, C8D1, 2048, 128, 64, 1024, 0, 0, 3.3, 0
GD5F2GQ4UB, C8D2, 2048, 128, 64, 2048, 0, 0, 3.3, 0
GD5F1GQ5UE, C851, 2048, 128, 64, 1024, 0, 0, 3.3, 0
F50L1G41LB, C801, 2048, 64, 64, 1024, 0, 0, 3.3, 0
MX35LF1GE4AB, C212, 2048, 64, 64, 1024, 0, 0, 3.3, 0
MX35LF2GE4AB, C222, 2048, 64, 64, 2048, 1, 0, 3.3, 0
MT29F1G01ABAFD, 2C14, 2048, 128, 64, 1024, 0, 0, 3.3, 0
MT29F2G01ABAGD, 2C24, 2048, 128, 64, 2048, 1, 0, 3.3, 0
TC58CVG0S3HRAIG, 98C2, 2048, 128, 64, 1024, 0, 0, 3.3, 0
TC58CVG1S3HRAIG, 98CB, 2048, 128, 64, 2048, 0, 0, 3.3, 0
XT26G01A, 0BE1, 2048, 64, 64, 1024, 0, 0, 3.3, 0
XT26G02A, 0BE2, 2048, 64, 64, 2048, 0, 0, 3.3, 0
DS35Q1GA, E571, 2048, 64, 64, 1024, 0, 0, 3.3, 0
DS35Q2GA, E572, 2048, 64, 64, 2048, 1, 0, 3.3, 0
F35SQA001G, CD7171, 2048, 64, 64, 1024, 0, 0, 3.3, 0
PN26G01A, A1E1, 2048, 128, 64, 1024, 0, 0, 3.3, 0
