# Generated from the Linux kernel drivers/mtd/nand/spi/*.c by host/tools/gen_spinand_from_linux.py
# name, full ID (manufacturer first), page, spare, pages/block, blocks/die, plane select, read-ID method (opcode_dummy|opcode_addr|opcode), voltage (0 = see datasheet), vendor, note
AS5F34G04SND,522F,2048,128,64,4096,0,opcode_dummy,0.0,alliancememory,
ATO25D1GA,9B12,2048,64,64,1024,0,opcode_addr,0.0,ato,
DS35Q1GA,E571,2048,64,64,1024,0,opcode_dummy,3.3,dosilicon,
DS35M1GA,E521,2048,64,64,1024,0,opcode_dummy,1.8,dosilicon,
F50L1G41LC,8C2C,2048,64,64,1024,0,opcode_addr,3.3,esmt,
F50L1G41LB,C8017F7F7F,2048,64,64,1024,0,opcode_addr,3.3,esmt,
F50D1G41LB,C8117F7F7F,2048,64,64,1024,0,opcode_addr,1.8,esmt,
F50D2G41KA,C8517F7F7F,2048,128,64,2048,0,opcode_addr,1.8,esmt,
FM25G01B,A1D1,2048,128,64,1024,0,opcode_dummy,0.0,fmsh,
FM25G02B,A1D2,2048,128,64,2048,0,opcode_dummy,0.0,fmsh,
FM25S01A,A1E4,2048,64,64,1024,0,opcode_dummy,0.0,fmsh,
FM25S01BI3,A1D4,2048,128,64,1024,0,opcode_dummy,0.0,fmsh,
F35SQA002G,CD7272,2048,64,64,2048,0,opcode_dummy,3.3,foresee,
F35SQA001G,CD7171,2048,64,64,1024,0,opcode_dummy,3.3,foresee,
F35SQB002G,CD5252,2048,128,64,2048,0,opcode_dummy,3.3,foresee,
GD5F1GQ4xA,C8F1,2048,64,64,1024,0,opcode_addr,0.0,gigadevice,
GD5F2GQ4xA,C8F2,2048,64,64,2048,0,opcode_addr,0.0,gigadevice,
GD5F4GQ4xA,C8F4,2048,64,64,4096,0,opcode_addr,0.0,gigadevice,
GD5F4GQ4RC,C8A468,4096,256,64,2048,0,opcode,1.8,gigadevice,
GD5F4GQ4UC,C8B468,4096,256,64,2048,0,opcode,3.3,gigadevice,
GD5F1GQ4UExxG,C8D1,2048,128,64,1024,0,opcode_addr,3.3,gigadevice,
GD5F1GQ4RExxG,C8C1,2048,128,64,1024,0,opcode_addr,1.8,gigadevice,
GD5F2GQ4UExxG,C8D2,2048,128,64,2048,0,opcode_addr,3.3,gigadevice,
GD5F2GQ4RExxG,C8C2,2048,128,64,2048,0,opcode_addr,1.8,gigadevice,
GD5F1GQ4UFxxG,C8B148,2048,128,64,1024,0,opcode,3.3,gigadevice,
GD5F1GQ5UExxG,C851,2048,128,64,1024,0,opcode_dummy,3.3,gigadevice,
GD5F1GQ5RExxG,C841,2048,128,64,1024,0,opcode_dummy,1.8,gigadevice,
GD5F2GQ5UExxG,C852,2048,128,64,2048,0,opcode_dummy,3.3,gigadevice,
GD5F2GQ5RExxG,C842,2048,128,64,2048,0,opcode_dummy,1.8,gigadevice,
GD5F4GQ6UExxG,C855,2048,128,64,2048,0,opcode_dummy,3.3,gigadevice,only the first of 2 dies is used
GD5F4GQ6RExxG,C845,2048,128,64,2048,0,opcode_dummy,1.8,gigadevice,only the first of 2 dies is used
GD5F1GM7UExxG,C891,2048,128,64,1024,0,opcode_dummy,3.3,gigadevice,
GD5F1GM7RExxG,C881,2048,128,64,1024,0,opcode_dummy,1.8,gigadevice,
GD5F2GM7UExxG,C892,2048,128,64,2048,0,opcode_dummy,3.3,gigadevice,
GD5F2GM7RExxG,C882,2048,128,64,2048,0,opcode_dummy,1.8,gigadevice,
GD5F4GM8UExxG,C895,2048,128,64,4096,0,opcode_dummy,3.3,gigadevice,
GD5F4GM8RExxG,C885,2048,128,64,4096,0,opcode_dummy,1.8,gigadevice,
GD5F2GQ5xExxH,C822,2048,64,64,2048,0,opcode_dummy,0.0,gigadevice,
GD5F1GQ5RExxH,C821,2048,64,64,1024,0,opcode_dummy,1.8,gigadevice,
GD5F1GQ4RExxH,C8C9,2048,64,64,1024,0,opcode_dummy,1.8,gigadevice,
GD5F1GM9UExxG,C89101,2048,128,64,1024,0,opcode_dummy,3.3,gigadevice,
GD5F1GM9RExxG,C88101,2048,128,64,1024,0,opcode_dummy,1.8,gigadevice,
HYF1GQ4UDACAE,C921,2048,64,64,1024,0,opcode_addr,0.0,heyangtek,
MX35LF1GE4AB,C212,2048,64,64,1024,0,opcode_dummy,3.3,macronix,
MX35LF2GE4AB,C222,2048,64,64,2048,1,opcode_dummy,3.3,macronix,
MX35LF2GE4AD,C22603,2048,64,64,2048,0,opcode_dummy,3.3,macronix,
MX35LF4GE4AD,C23703,4096,128,64,2048,0,opcode_dummy,3.3,macronix,
MX35LF1G24AD,C21403,2048,128,64,1024,0,opcode_dummy,3.3,macronix,
MX35LF2G24AD,C22403,2048,128,64,2048,1,opcode_dummy,3.3,macronix,
MX35LF2G24AD-Z4I8,C26403,2048,128,64,2048,0,opcode_dummy,3.3,macronix,
MX35LF4G24AD,C23503,4096,256,64,2048,1,opcode_dummy,3.3,macronix,
MX35LF4G24AD-Z4I8,C27503,4096,256,64,2048,0,opcode_dummy,3.3,macronix,
MX31LF1GE4BC,C21E,2048,64,64,1024,0,opcode_dummy,3.3,macronix,
MX31UF1GE4BC,C29E,2048,64,64,1024,0,opcode_dummy,1.8,macronix,
MX35LF2G14AC,C220,2048,64,64,2048,1,opcode_dummy,3.3,macronix,
MX35UF4G24AD,C2B503,4096,256,64,2048,1,opcode_dummy,1.8,macronix,
MX35UF4G24AD-Z4I8,C2F503,4096,256,64,2048,0,opcode_dummy,1.8,macronix,
MX35UF4GE4AD,C2B703,4096,256,64,2048,0,opcode_dummy,1.8,macronix,
MX35UF2G14AC,C2A0,2048,64,64,2048,1,opcode_dummy,1.8,macronix,
MX35UF2G24AD,C2A403,2048,128,64,2048,1,opcode_dummy,1.8,macronix,
MX35UF2G24AD-Z4I8,C2E403,2048,128,64,2048,0,opcode_dummy,1.8,macronix,
MX35UF2GE4AD,C2A603,2048,128,64,2048,0,opcode_dummy,1.8,macronix,
MX35UF2GE4AC,C2A201,2048,64,64,2048,0,opcode_dummy,1.8,macronix,
MX35UF1G14AC,C290,2048,64,64,1024,0,opcode_dummy,1.8,macronix,
MX35UF1G24AD,C29403,2048,128,64,1024,0,opcode_dummy,1.8,macronix,
MX35UF1GE4AD,C29603,2048,128,64,1024,0,opcode_dummy,1.8,macronix,
MX35UF1GE4AC,C29201,2048,64,64,1024,0,opcode_dummy,1.8,macronix,
MX31LF2GE4BC,C22E,2048,64,64,2048,0,opcode_dummy,3.3,macronix,
MX3UF2GE4BC,C2AE,2048,64,64,2048,0,opcode_dummy,0.0,macronix,
MT29F2G01ABAGD,2C24,2048,128,64,2048,1,opcode_dummy,3.3,micron,
MT29F2G01ABBGD,2C25,2048,128,64,2048,1,opcode_dummy,1.8,micron,
MT29F1G01ABAFD,2C14,2048,128,64,1024,0,opcode_dummy,3.3,micron,
MT29F1G01ABAFD,2C15,2048,128,64,1024,0,opcode_dummy,3.3,micron,
MT29F4G01ADAGD,2C36,2048,128,64,2048,1,opcode_dummy,0.0,micron,only the first of 2 dies is used
MT29F4G01ABAFD,2C34,4096,256,64,2048,0,opcode_dummy,3.3,micron,
MT29F4G01ABBFD,2C35,4096,256,64,2048,0,opcode_dummy,1.8,micron,
MT29F8G01ADAFD,2C46,4096,256,64,2048,0,opcode_dummy,0.0,micron,only the first of 2 dies is used
MT29F8G01ADBFD,2C47,4096,256,64,2048,0,opcode_dummy,0.0,micron,only the first of 2 dies is used
MT29F2G01AAAED,2C9F,2048,64,64,2048,1,opcode_dummy,0.0,micron,
PN26G01A,A1E1,2048,128,64,1024,0,opcode_dummy,0.0,paragon,
PN26G02A,A1E2,2048,128,64,2048,0,opcode_dummy,0.0,paragon,
S35ML01G301,0115,2048,64,64,1024,0,opcode_dummy,0.0,skyhigh,
S35ML01G300,0114,2048,128,64,1024,0,opcode_dummy,0.0,skyhigh,
S35ML02G300,0125,2048,128,64,2048,1,opcode_dummy,0.0,skyhigh,
S35ML04G300,0135,2048,128,64,4096,1,opcode_dummy,0.0,skyhigh,
TC58CVG0S3HRAIG,98C2,2048,128,64,1024,0,opcode_dummy,3.3,toshiba,
TC58CVG1S3HRAIG,98CB,2048,128,64,2048,0,opcode_dummy,3.3,toshiba,
TC58CVG2S0HRAIG,98CD,4096,256,64,2048,0,opcode_dummy,3.3,toshiba,
TC58CYG0S3HRAIG,98B2,2048,128,64,1024,0,opcode_dummy,1.8,toshiba,
TC58CYG1S3HRAIG,98BB,2048,128,64,2048,0,opcode_dummy,1.8,toshiba,
TC58CYG2S0HRAIG,98BD,4096,256,64,2048,0,opcode_dummy,1.8,toshiba,
TC58CVG0S3HRAIJ,98E2,2048,128,64,1024,0,opcode_dummy,3.3,toshiba,
TC58CVG1S3HRAIJ,98EB,2048,128,64,2048,0,opcode_dummy,3.3,toshiba,
TC58CVG2S0HRAIJ,98ED,4096,256,64,2048,0,opcode_dummy,3.3,toshiba,
TH58CVG3S0HRAIJ,98E4,4096,256,64,4096,0,opcode_dummy,3.3,toshiba,
TC58CYG0S3HRAIJ,98D2,2048,128,64,1024,0,opcode_dummy,1.8,toshiba,
TC58CYG1S3HRAIJ,98DB,2048,128,64,2048,0,opcode_dummy,1.8,toshiba,
TC58CYG2S0HRAIJ,98DD,4096,256,64,2048,0,opcode_dummy,1.8,toshiba,
TH58CYG3S0HRAIJ,98D4,4096,256,64,4096,0,opcode_dummy,1.8,toshiba,
TC58NYG0S3HBAI4,98A1,2048,128,64,1024,0,opcode_dummy,1.8,toshiba,
TH58NYG2S3HBAI4,98AC,2048,128,64,4096,0,opcode_dummy,1.8,toshiba,only the first of 2 dies is used
TH58NYG3S0HBAI6,98A3,4096,256,64,4096,0,opcode_dummy,1.8,toshiba,
W25N512GW,EFBA20,2048,64,64,512,0,opcode_dummy,1.8,winbond,
W25N01GV,EFAA21,2048,64,64,1024,0,opcode_dummy,3.3,winbond,
W25N01GW,EFBA21,2048,64,64,1024,0,opcode_dummy,1.8,winbond,
W25N01JW,EFBC21,2048,64,64,1024,0,opcode_dummy,1.8,winbond,
W25N01KV,EFAE21,2048,96,64,1024,0,opcode_dummy,3.3,winbond,
W35N01JW,EFDC21,4096,128,64,512,0,opcode_dummy,1.8,winbond,
W25M02GV,EFAB21,2048,64,64,1024,0,opcode_dummy,3.3,winbond,only the first of 2 dies is used
W25N02JW,EFBF22,2048,64,64,1024,0,opcode_dummy,1.8,winbond,only the first of 2 dies is used
W25N02KV,EFAA22,2048,128,64,2048,0,opcode_dummy,3.3,winbond,
W25N02KW,EFBA22,2048,128,64,2048,0,opcode_dummy,1.8,winbond,
W35N02JW,EFDF22,4096,128,64,512,0,opcode_dummy,1.8,winbond,only the first of 2 dies is used
W25N04KV,EFAA23,2048,128,64,4096,1,opcode_dummy,3.3,winbond,
W25N04KW,EFBA23,2048,128,64,4096,0,opcode_dummy,1.8,winbond,
W35N04JW,EFDF23,4096,128,64,512,0,opcode_dummy,1.8,winbond,only the first of 4 dies is used
XT26G01A,0BE1,2048,64,64,1024,0,opcode_addr,3.3,xtx,
XT26G02A,0BE2,2048,64,64,2048,0,opcode_addr,3.3,xtx,
XT26G04A,0BE3,2048,64,128,2048,0,opcode_addr,3.3,xtx,
XT26G01D,0B31,2048,128,64,1024,0,opcode_addr,3.3,xtx,
XT26G11D,0B34,2048,128,64,1024,0,opcode_addr,3.3,xtx,
XT26Q01D,0B51,2048,128,64,1024,0,opcode_addr,1.8,xtx,
XT26G02D,0B32,2048,128,64,2048,0,opcode_addr,3.3,xtx,
XT26G12D,0B35,2048,128,64,2048,0,opcode_addr,3.3,xtx,
XT26Q02D,0B52,2048,128,64,2048,0,opcode_addr,1.8,xtx,
XT26G04D,0B33,4096,256,64,2048,0,opcode_addr,3.3,xtx,
XT26Q04D,0B53,4096,256,64,2048,0,opcode_addr,1.8,xtx,
