# name, JEDEC ID (hex), size (bytes), voltage (V), notes
# Standard 25-series command set (03/02/06/05/20/52/D8/C7). SFDP, when present, overrides size/erase info.
W25X40CL, EF3013, 524288, 3.3,
W25X80, EF3014, 1048576, 3.3,
W25Q80DV, EF4014, 1048576, 3.3,
W25Q16JV, EF4015, 2097152, 3.3,
W25Q32JV, EF4016, 4194304, 3.3,
W25Q64JV, EF4017, 8388608, 3.3,
W25Q128JV, EF4018, 16777216, 3.3,
W25Q256JV, EF4019, 33554432, 3.3,
W25Q512JV, EF4020, 67108864, 3.3,
W25Q128JV-IM, EF7018, 16777216, 3.3,
W25Q64JW, EF6017, 8388608, 1.8,
W25Q128JW, EF6018, 16777216, 1.8,
W25Q256JW, EF6019, 33554432, 1.8,
MX25L8006E, C22014, 1048576, 3.3,
MX25L1606E, C22015, 2097152, 3.3,
MX25L3206E, C22016, 4194304, 3.3,
MX25L6406E, C22017, 8388608, 3.3,
MX25L12835F, C22018, 16777216, 3.3,
MX25L25635F, C22019, 33554432, 3.3,
MX25L51245G, C2201A, 67108864, 3.3,
MX25U1635F, C22535, 2097152, 1.8,
MX25U3235F, C22536, 4194304, 1.8,
MX25U6435F, C22537, 8388608, 1.8,
MX25U12835F, C22538, 16777216, 1.8,
MX25U25635F, C22539, 33554432, 1.8,
GD25Q80C, C84014, 1048576, 3.3,
GD25Q16C, C84015, 2097152, 3.3,
GD25Q32C, C84016, 4194304, 3.3,
GD25Q64C, C84017, 8388608, 3.3,
GD25Q128C, C84018, 16777216, 3.3,
GD25Q256D, C84019, 33554432, 3.3,
GD25LQ16, C86015, 2097152, 1.8,
GD25LQ32, C86016, 4194304, 1.8,
GD25LQ64, C86017, 8388608, 1.8,
GD25LQ128, C86018, 16777216, 1.8,
EN25QH16, 1C7015, 2097152, 3.3,
EN25QH32, 1C7016, 4194304, 3.3,
EN25QH64, 1C7017, 8388608, 3.3,
EN25QH128A, 1C7018, 16777216, 3.3,
EN25Q64, 1C3017, 8388608, 3.3,
XM25QH64A, 207017, 8388608, 3.3,
XM25QH128A, 207018, 16777216, 3.3,
XM25QH64C, 204017, 8388608, 3.3,
XM25QH128C, 204018, 16777216, 3.3,
N25Q064A, 20BA17, 8388608, 3.3,
N25Q128A, 20BA18, 16777216, 3.3,
MT25QL256, 20BA19, 33554432, 3.3,
MT25QL512, 20BA20, 67108864, 3.3,
N25Q128A-1.8V, 20BB18, 16777216, 1.8,
IS25LP064, 9D6017, 8388608, 3.3,
IS25LP128, 9D6018, 16777216, 3.3,
IS25LP256, 9D6019, 33554432, 3.3,
S25FL064L, 016017, 8388608, 3.3,
S25FL128L, 016018, 16777216, 3.3,
S25FL256L, 016019, 33554432, 3.3,
S25FL128S, 012018, 16777216, 3.3,
S25FL256S, 010219, 33554432, 3.3,
ZB25VQ64, 5E4017, 8388608, 3.3,
ZB25VQ128, 5E4018, 16777216, 3.3,
BY25Q64, 684017, 8388608, 3.3,
BY25Q128, 684018, 16777216, 3.3,
XT25F64B, 0B4017, 8388608, 3.3,
XT25F128B, 0B4018, 16777216, 3.3,
P25Q32H, 856016, 4194304, 3.3,
P25Q64H, 856017, 8388608, 3.3,
P25Q128H, 856018, 16777216, 3.3,
AT25SF081, 1F8501, 1048576, 3.3,
AT25SF161, 1F8601, 2097152, 3.3,
AT25SF321, 1F8701, 4194304, 3.3,
SST26VF064B, BF2643, 8388608, 3.3, needs ULBPR (98h) global unlock
